agency_name,agency_name_secondary,agency_address,agency_phone,agency_website,agency_wheelchair_access,available_beds,intake_open_appointments,populations_served,languages_spoken,last_updated,agency_hours_sunday_open,agency_hours_sunday_close,intake_hours_sunday_open,intake_hours_sunday_close,agency_hours_monday_open,agency_hours_monday_close,intake_hours_monday_open,intake_hours_monday_close,agency_hours_tuesday_open,agency_hours_tuesday_close,intake_hours_tuesday_open,intake_hours_tuesday_close,agency_hours_wednesday_open,agency_hours_wednesday_close,intake_hours_wednesday_open,intake_hours_wednesday_close,agency_hours_thursday_open,agency_hours_thursday_close,intake_hours_thursday_open,intake_hours_thursday_close,agency_hours_friday_open,agency_hours_friday_close,intake_hours_friday_open,intake_hours_friday_close,agency_hours_saturday_open,agency_hours_saturday_close,intake_hours_saturday_open,intake_hours_saturday_close
"HOMELESS HEALTH CARE LOS ANGELES, INC.",,"2330 West Beverly Boulevard,Los Angeles, CA 90057",(213) 744-0724,http://www.hhcla.org,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; Homeless,EnglishSpanish,Last Updated: 7/29/2025 1:12:39 PM,Closed,Closed,,,08:00,16:00,,,08:00,21:00,,,08:00,16:00,,,08:00,21:00,,,08:00,16:00,,,08:00,16:00,,
"ADDICTION RESEARCH AND TREATMENT, INC.",,"1701 Zonal Avenue,Los Angeles, CA 90033",(323) 223-6298,https://www.medmark.com,Yes,,,Adult; M; A; T; Perinatal,EnglishSpanish,Last Updated: 11/20/2019 9:09:32 AM,06:00,10:00,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,06:00,10:00,,
"BAART BEHAVIORAL HEALTH SERVICES, INC.",BAART Boyle Heights,"1701 Zonal Avenue,Los Angeles, CA 90033",(323) 223-6298,https://www.baartprograms.com/,Yes,,,Adult; M; A; T,EnglishSpanish,Last Updated: 11/20/2022 11:09:48 PM,06:00,21:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,06:00,14:00,,,06:00,21:00,,
ESCUELA HISPANA DE ALCOHOL,,"305 North Soto Street, Unit # B,East Los Angeles, CA 90033",(323) 264-7001,,No,,,,EnglishSpanish,Last Updated: 4/5/2022 5:00:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINICA MONSENOR OSCAR A. ROMERO,,"2032 Marengo Street, Suite B ,Los Angeles, CA 90033",(323) 987-1034,https://www.clinicaromero.com,Yes,,,Adult; Youth; Women; Perinatal,EnglishSpanish,Last Updated: 8/12/2025 9:46:33 AM,Closed,Closed,,,07:00,21:00,,,07:00,19:00,,,07:00,19:00,,,07:00,21:00,,,07:00,19:00,,,08:00,17:00,,
"CRI-HELP, INC.",,",Los Angeles, CA 90032",(323) 222-1440,https://www.cri-help.org,Yes,RBHAdult - M: 0,,,EnglishSpanish,Last Updated: 8/13/2025 8:24:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALCOHOLISM CENTER FOR WOMEN, INC.",,"1135 South Alvarado Street,Los Angeles, CA 90006",(213) 381-8500,http://www.alcoholismcenterforwomen.org,Yes,RS(3.1)Adult - F: 3RS(3.5)Adult - F: 3,,Perinatal; Physically; Disabled; Developmentally; Disabled/; Delayed; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,English,Last Updated: 8/14/2025 8:32:47 AM,Closed,Closed,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,16:00,,
VOLUNTEERS OF AMERICA OF LOS ANGELES,Central City Recovery,"2521 Long Beach Avenue,Los Angeles, CA 90058",(562) 399-5452,https://voala.org,Yes,RS(3.1)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 0,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,Spanish,Last Updated: 8/14/2025 9:07:04 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
"ALCOHOLISM CENTER FOR WOMEN, INC.",,"1147 South Alvarado Street,Los Angeles, CA 90006",(213) 381-8500,http://www.alcoholismcenterforwomen.org,Yes,,,Adult; Women; Perinatal; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/14/2025 8:32:47 AM,Closed,Closed,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,16:00,,
"SAFETY CONSULTANT SERVICES, INC.",,"2904 South Main Street,Los Angeles, CA 90007",(213) 748-9444,https://www.safetyconsultantservicesinc.com,Yes,,,,EnglishSpanish,Last Updated: 6/29/2017 2:00:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SALVATION ARMY, A CALIFORNIA CORPORATION",Hope Harbor Center,"3107 South Grand Avenue,Los Angeles, CA 90007",(213) 744-8186,https://www.bellshelter.salvationarmy.org,Yes,RS(3.1)Adult - M: 0,,Adult; Physically; Disabled; Veterans; Homeless; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/14/2025 8:17:58 AM,10:00,18:00,,,07:00,18:00,,,07:00,16:00,,,07:00,16:00,,,07:00,18:00,,,07:00,16:00,,,07:00,15:00,,
"JWCH INSTITUTE, INC.",,",Los Angeles, CA 90011",(310) 608-1505,https://www.jwchinstitute.org,Yes,RBHAdult - F: 0,,Women,EnglishSpanish,Last Updated: 8/13/2025 9:06:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JWCH INSTITUTE, INC.",,",Los Angeles, CA 90007",(310) 608-1505,https://www.jwchinstitute.org,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/13/2025 9:06:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SADLER HEALTHCARE, INC.",Menlo House,"1731 Menlo Avenue,Los Angeles, CA 90006",(323) 251-1485,,No,RS(3.1)Adult - M: 6RS(3.5)Adult - M: 6R-WMAdult - M: 0,,Adult; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,English,Last Updated: 8/14/2025 9:15:12 AM,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,
CHILDREN'S HOSPITAL LOS ANGELES,,"3250 Wilshire Boulevard, 300,Los Angeles, CA 90010",(323) 361-2463,https://www.chla.org/adolhealth,Yes,,,Youth; M; A; T; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q,Spanish,Last Updated: 8/14/2025 8:25:38 AM,Closed,Closed,,,10:00,18:30,,,08:30,17:30,,,09:00,21:00,,,08:30,21:00,,,09:00,17:00,,,08:00,16:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Bimini House,"155 South Bimini Place,Los Angeles, CA 90004",(877) 507-6242,https://www.socialmodelrecovery.org/,No,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 1,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Criminal; Justice,Spanish,Last Updated: 8/14/2025 8:43:53 AM,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,
"BEHAVIORAL HEALTH SERVICES, INC.",BHS Boyle Heights Family Recovery Center,"3421 East Olympic Boulevard,Los Angeles, CA 90023",(323) 262-1786,http://bhs-inc.org/,Yes,,,Adult,Spanish,Last Updated: 8/14/2025 8:13:17 AM,Closed,Closed,,,09:00,18:00,,,09:00,21:00,,,09:00,18:00,,,09:00,21:00,,,08:00,17:00,,,08:00,17:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",,",Los Angeles, CA 90023",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/13/2025 7:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",,",Los Angeles, CA 90023",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/13/2025 7:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",,",Los Angeles, CA 90023",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/13/2025 7:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEHAVIORAL HEALTH SERVICES, INC.",Lincoln Heights Family Recovery Center,"4099 North Mission Road,Los Angeles, CA 90032",(323) 221-1746,http://bhs-inc.org/,Yes,,,Youth,Spanish,Last Updated: 8/14/2025 8:13:17 AM,Closed,Closed,,,09:00,18:00,,,09:00,21:00,,,09:00,18:00,,,09:00,21:00,,,08:00,21:00,,,Closed,Closed,,
PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,Castle Outpatient,"3021 South Vermont Avenue,Los Angeles, CA 90007",(323) 732-9124,,Yes,,,,English,Last Updated: 8/14/2025 8:30:31 AM,Closed,Closed,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,12:30,21:00,,,09:00,18:00,,,09:00,14:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Mariposa Recovery Home,"453 South Indiana Street,Los Angeles, CA 90063",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RS(3.1)Adult - F: 0RS(3.5)Adult - F: 0,,Adult; Women; M; A; T; Parent/; Guardian (; Female) with; Children; Perinatal; L; G; B; T; Q,Spanish,Last Updated: 8/14/2025 8:46:56 AM,Closed,Closed,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,Closed,Closed,,
"ADDICTION RESEARCH AND TREATMENT, INC.",,"4920 South Avalon Boulevard,Los Angeles, CA 90011",(323) 235-5035,https://www.medmark.com,Yes,,,M; A; T; Perinatal,ArmenianEnglishFarsiSpanish,Last Updated: 7/29/2025 9:24:03 AM,07:00,11:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,07:00,11:00,,
AVALON-CARVER COMMUNITY CENTER,,"4920 South Avalon Boulevard,Los Angeles, CA 90011",(323) 232-4391,https://www.avaloncarvercc.wix.com,Yes,,,,EnglishSpanish,Last Updated: 7/4/2017 2:00:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAART BEHAVIORAL HEALTH SERVICES, INC.",,"4920 South Avalon Boulevard,Los Angeles, CA 90011",(323) 235-5035,https://www.baartprograms.com/,Yes,,,M; A; T; Perinatal,ArabicArmenianEnglishFarsiSpanish,Last Updated: 7/29/2025 9:24:24 AM,07:30,10:30,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,07:30,10:30,,
"CRI-HELP, INC.",Socorro,"4439, 4445, 4455 Burns Avenue,Los Angeles, CA 90029",(323) 222-1440,https://www.cri-help.org,No,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0R-WMAdult - M: 0Adult - F: 0,,M; A; T,EnglishSpanish,Last Updated: 8/13/2025 8:24:14 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
"SADLER HEALTHCARE, INC.",,"225 North Mariposa Avenue,Los Angeles, CA 90004",(323) 251-1485,,No,RS(3.1)Adult - M: 4RS(3.5)Adult - M: 4R-WMAdult - M: 0,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,English,Last Updated: 8/14/2025 9:15:12 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",,"3727 West 6th Street, Suite 411,Los Angeles, CA 90020",(213) 365-7400,https://www.kyccla.org,Yes,,,Youth; Co-; Occurring; Mental; Health; Capabilities,EnglishKoreanSpanish,Last Updated: 8/13/2025 9:40:01 AM,Closed,Closed,,,09:00,18:00,,,12:00,21:00,,,09:00,18:00,,,12:00,21:00,,,09:00,18:00,,,08:00,16:30,,
"JWCH INSTITUTE, INC.",Mini House Residential Treatment,"303 East 52nd Street,Los Angeles, CA 90011",(323) 918-2139,https://www.jwchinstitute.org,Yes,RS(3.1)Adult - F: 2RS(3.5)Adult - F: 2,,M; A; T; Parent/; Guardian (; Female) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 9:06:07 AM,10:00,18:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,10:00,18:00,,
PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,Castle Substance Abuse Treatment - West,"1319 South Manhattan Place,Los Angeles, CA 90019",(323) 732-9124,,No,RS(3.1)Adult - M: 0Adult - F: 0,,,EnglishSpanish,Last Updated: 8/14/2025 8:30:31 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
"SPECIAL SERVICE FOR GROUPS, INC.",Homeless Outreach Program Integrated Care System,"5715 South Broadway,Los Angeles, CA 90037",(323) 948-0433,http://www.hopics.org,Yes,,,Adult; Women; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 10:18:01 AM,Closed,Closed,,,08:00,16:30,,,12:00,21:00,,,08:00,16:30,,,12:00,21:00,,,08:00,16:30,,,08:00,16:30,,
"PRINCIPLES, INC.",,"3217 North Eastern Avenue, 102 & 103,Los Angeles, CA 90032",(213) 625-5009,https://www.impacthouse.com,No,,,Adult; L; G; B; T; Q; Veterans; Homeless,ArmenianEnglishSpanish,Last Updated: 8/13/2025 10:31:04 AM,Closed,Closed,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,16:30,,,08:00,16:30,,
"CRI-HELP, INC.",,",Los Angeles, CA 90032",(323) 222-1440,https://www.cri-help.org,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/13/2025 8:24:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIVERSION SAFETY PROGRAMS, INC.",,"6606 Pacific Boulevard, 215,Huntington Park, CA 90255",(323) 585-0764,,Yes,,,,EnglishSpanish,Last Updated: 6/30/2017 8:25:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTERN PACIFIC MED-CORP,,"4544 San Fernando Road, Suite 201,Glendale, CA 91204",(818) 956-3737,www.westpacmed.com,Yes,,,Adult; M; A; T,ArmenianEnglishFarsiRussianSpanishTagalog,Last Updated: 8/14/2025 5:26:23 AM,06:00,09:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,09:30,,
"CHABAD OF CALIFORNIA, INC.",,",Los Angeles, CA 90019",(323) 965-1365,https://www.chabadrehab.com,No,RBHAdult - M: 0,,M; A; T; Co-; Occurring; Mental; Health; Capabilities; Homeless,English,Last Updated: 8/14/2025 8:41:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EGGLESTON YOUTH CENTERS, INC., D. B. A. EGGLESTON SUBSTANCE ABUSE AND EDUCATION PROGRAM",,"3901 West Adams Boulevard,Los Angeles, CA 90018",(626) 472-6000,https://www.egglestonyouthcenter.org,No,,,Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/8/2025 8:54:33 AM,Closed,Closed,,,12:00,21:00,,,12:00,21:00,,,12:00,20:00,,,12:00,20:00,,,Closed,Closed,,,09:00,17:00,,
TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,,"8019 Compton Avenue,Los Angeles, CA 90001",(323) 586-7333,http://www.tccsc.org,Yes,,,Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities,Spanish,Last Updated: 7/28/2025 3:50:17 PM,Closed,Closed,,,08:00,20:00,,,08:00,21:00,,,08:00,20:00,,,08:00,21:00,,,08:00,20:00,,,09:00,17:00,,
DIDI HIRSCH PSYCHIATRIC SERVICE,Didi Hirsch Mental Health- Glendale,"1540 East Colorado Street,Glendale, CA 91205",(818) 244-7257,https://didihirsch.org,Yes,,,Co-; Occurring; Mental; Health; Capabilities,EnglishFarsiSpanish,Last Updated: 8/14/2025 8:52:56 AM,Closed,Closed,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,Closed,Closed,,
"SPECIAL SERVICE FOR GROUPS, INC.",,",Los Angeles, CA 90003",(323) 948-0433,http://www.hopics.org,Yes,RBHAdult - F: 1,,,English,Last Updated: 8/13/2025 10:19:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON HUMAN SERVICES, INC.",,",Los Angeles, CA 90003",(323) 249-9097,http://www.canonhumanservices.com/,No,RBHAdult - M: 0,,,Spanish,Last Updated: 8/13/2025 10:39:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NARCOTIC PREVENTION ASSOCIATION, INC.",,"942 South Atlantic Boulevard, Suite 100,Los Angeles, CA 90022",(323) 263-9700,https://www.nppclinic.net,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,American Sign LanguageEnglishSpanish,Last Updated: 8/12/2025 8:18:04 AM,06:00,10:00,,,05:00,17:00,,,05:00,17:00,,,05:00,17:00,,,05:00,17:00,,,05:00,17:00,,,06:00,10:00,,
RIGHT ON PROGRAMS,,"522 East Broadway Avenue, Suite 101,Glendale, CA 91205",(818) 240-1683,https://www.rightonprograms.com,Yes,,,,ArmenianEnglishSpanish,Last Updated: 6/30/2017 8:32:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SALVATION ARMY, A CALIFORNIA CORPORATION",The Salvation Army Bell Shelter,"5600 Rickenbacker Road, Building 2A-B,Bell, CA 90201",(949) 524-5058,https://www.bellshelter.salvationarmy.org,Yes,RS(3.1)Adult - M: 3Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,Adult; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,English,Last Updated: 8/14/2025 8:14:36 AM,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Casa Del Corazon,",Los Angeles, CA 90022",(562) 906-2676,http://www.lacada.com/,Yes,RBHAdult - M: 0Adult - F: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN NESS RECOVERY HOUSE,,"1919 North Beachwood Drive,Los Angeles, CA 90068",(323) 463-4266,https://www.vannessrecoveryhouse.com,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,Adult; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/14/2025 7:32:58 AM,08:00,23:00,,,08:00,23:00,,,08:00,23:00,,,08:00,23:00,,,08:00,23:00,,,08:00,23:00,,,08:00,23:00,,
"HELPLINE YOUTH COUNSELING, INC.",,"5400 East Olympic Boulevard, Suite 225,Commerce, CA 90022",(213) 226-0969,https://hycinc.org,No,,,Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/14/2025 8:04:50 AM,Closed,Closed,,,08:00,17:00,,,08:00,21:00,,,08:00,17:00,,,08:00,21:00,,,08:00,17:00,,,Closed,Closed,,
"ASIAN AMERICAN DRUG ABUSE PROGRAM, INC.",,",Los Angeles, CA 90019",(323) 293-6291,https://www.aadapinc.org,Yes,RBHAdult - F: 1,,,English,Last Updated: 8/14/2025 9:20:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,",Los Angeles, CA 90002",(626) 537-1807,http://www.lacada.com/,No,RBHAdult - M: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SHIELDS FOR FAMILIES, INC.",Shields Place of Families,"9307 South Central Avenue,Los Angeles, CA 90002",(323) 564-6982,http://www.shieldsforfamilies.org,Yes,,,,EnglishSpanish,Last Updated: 7/25/2019 9:18:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MELA COUNSELING SERVICES CENTER, INC.",,"5723 Whittier Boulevard,Los Angeles, CA 90022",(323) 721-6855,http://melacounseling.org/,Yes,,,Adult; Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Criminal; Justice,EnglishSpanish,Last Updated: 8/14/2025 9:13:12 AM,Closed,Closed,,,08:00,19:00,,,08:00,19:00,,,08:00,19:00,,,08:00,19:00,,,08:00,19:00,,,09:00,17:00,,
PENNY LANE CENTERS,,"5628 East Slauson,Commerce, CA 90040",(818) 430-4445,https://www.pennylane.org,Yes,,,Adult; Youth; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/14/2025 8:30:20 AM,Closed,Closed,,,08:00,20:00,,,08:00,21:00,,,08:00,20:00,,,08:00,21:00,,,08:00,18:00,,,09:00,17:00,,
